twelvth_beat,pitch,prediction,anomaly score
94.0,11.0,0.0,1.0
94.5,11.0,2.0,1.0
95.0,0.0,1.0,0.0
95.5,11.0,0.0,1.0
96.0,10.0,2.0,1.0
96.5,11.0,2.0,1.0
97.0,10.0,2.0,1.0
97.5,11.0,2.0,1.0
98.0,2.0,4.0,0.0
98.5,11.0,2.0,1.0
99.0,10.0,2.0,1.0
99.5,11.0,2.0,1.0
100.0,11.0,2.0,1.0
100.5,0.0,1.0,0.0
101.0,11.0,0.0,1.0
101.5,0.0,4.0,0.0
102.0,11.0,0.0,1.0
102.5,11.0,2.0,1.0
103.0,0.0,1.0,0.0
103.5,11.0,0.0,1.0
104.0,1.0,1.0,0.94999999999999996
104.5,1.0,5.999999999999999,0.0
105.0,10.0,2.0,1.0
105.5,1.0,1.0,0.94999999999999996
106.0,2.0,4.0,0.0
106.5,1.0,5.999999999999999,0.0
107.0,10.0,2.0,1.0
107.5,1.0,1.0,0.94999999999999996
108.0,9.0,7.0,1.0
108.5,1.0,1.0,1.0
109.0,10.0,2.0,1.0
109.5,1.0,1.0,0.94999999999999996
110.0,9.0,7.0,1.0
110.5,10.0,2.0,1.0
111.0,11.0,2.0,1.0
111.5,10.0,2.0,1.0
112.0,10.0,2.0,1.0
112.5,11.0,2.0,1.0
113.0,10.0,2.0,1.0
113.5,11.0,2.0,1.0
114.0,2.0,4.0,0.0
114.5,11.0,2.0,1.0
115.0,10.0,2.0,1.0
115.5,11.0,2.0,1.0
116.0,11.0,2.0,1.0
116.5,0.0,1.0,0.0
117.0,11.0,0.0,1.0
117.5,0.0,4.0,0.0
118.0,11.0,0.0,1.0
118.5,11.0,2.0,1.0
119.0,0.0,1.0,0.0
119.5,11.0,0.0,1.0
120.0,1.0,1.0,0.94999999999999996
120.5,1.0,5.999999999999999,0.0
121.0,10.0,2.0,1.0
121.5,1.0,1.0,0.94999999999999996
122.0,2.0,4.0,0.0
122.5,1.0,5.999999999999999,0.0
123.0,10.0,2.0,1.0
123.5,1.0,1.0,0.94999999999999996
124.0,9.0,7.0,1.0
124.5,1.0,1.0,1.0
125.0,10.0,2.0,1.0
125.5,1.0,1.0,0.94999999999999996
126.0,9.0,7.0,1.0
126.5,1.0,1.0,1.0
127.0,10.0,2.0,1.0
127.5,1.0,1.0,0.94999999999999996
128.0,10.0,2.0,1.0
128.5,11.0,2.0,1.0
129.0,10.0,2.0,1.0
129.5,11.0,2.0,1.0
130.0,2.0,4.0,0.0
130.5,11.0,2.0,1.0
131.0,10.0,2.0,1.0
131.5,11.0,2.0,1.0
132.0,1.0,1.0,0.94999999999999996
132.5,1.0,5.999999999999999,0.0
133.0,10.0,2.0,1.0
133.5,1.0,1.0,0.94999999999999996
134.0,2.0,4.0,0.0
134.5,1.0,5.999999999999999,0.0
135.0,10.0,2.0,1.0
135.5,1.0,1.0,0.94999999999999996
136.0,9.0,7.0,1.0
136.5,1.0,1.0,1.0
137.0,10.0,2.0,1.0
137.5,1.0,1.0,0.94999999999999996
138.0,9.0,7.0,1.0
138.5,10.0,2.0,1.0
139.0,11.0,2.0,1.0
139.5,10.0,2.0,1.0
140.0,11.0,2.0,1.0
140.5,0.0,1.0,0.0
141.0,11.0,0.0,1.0
141.5,0.0,4.0,0.0
142.0,11.0,0.0,1.0
142.5,11.0,2.0,1.0
143.0,0.0,1.0,0.0
143.5,11.0,0.0,1.0
144.0,10.0,2.0,1.0
144.5,11.0,2.0,1.0
145.0,10.0,2.0,1.0
145.5,11.0,2.0,1.0
146.0,2.0,4.0,0.0
146.5,11.0,2.0,1.0
147.0,10.0,2.0,1.0
147.5,11.0,2.0,1.0
148.0,1.0,1.0,0.94999999999999996
148.5,1.0,5.999999999999999,0.0
149.0,10.0,2.0,1.0
149.5,1.0,1.0,0.94999999999999996
150.0,2.0,4.0,0.0
150.5,1.0,5.999999999999999,0.0
151.0,10.0,2.0,1.0
151.5,1.0,1.0,0.94999999999999996
152.0,9.0,7.0,1.0
152.5,1.0,1.0,1.0
153.0,10.0,2.0,1.0
153.5,1.0,1.0,0.94999999999999996
154.0,9.0,7.0,1.0
154.5,10.0,2.0,1.0
155.0,11.0,2.0,1.0
155.5,10.0,2.0,1.0
156.0,11.0,2.0,1.0
156.5,0.0,1.0,0.0
157.0,11.0,0.0,1.0
157.5,0.0,4.0,0.0
158.0,11.0,0.0,1.0
158.5,11.0,2.0,1.0
159.0,0.0,1.0,0.0
159.5,11.0,0.0,1.0
160.0,1.0,1.0,0.94999999999999996
160.5,1.0,5.999999999999999,0.0
161.0,10.0,2.0,1.0
161.5,1.0,1.0,0.94999999999999996
162.0,2.0,4.0,0.0
162.5,1.0,5.999999999999999,0.0
163.0,10.0,2.0,1.0
163.5,1.0,1.0,0.94999999999999996
164.0,9.0,7.0,1.0
164.5,1.0,1.0,1.0
165.0,10.0,2.0,1.0
165.5,1.0,1.0,0.94999999999999996
166.0,9.0,7.0,1.0
166.5,10.0,2.0,1.0
167.0,11.0,2.0,1.0
167.5,10.0,2.0,1.0
168.0,10.0,2.0,1.0
168.5,11.0,2.0,1.0
169.0,10.0,2.0,1.0
169.5,11.0,2.0,1.0
170.0,2.0,4.0,0.0
170.5,11.0,2.0,1.0
171.0,10.0,2.0,1.0
171.5,11.0,2.0,1.0
172.0,11.0,2.0,1.0
172.5,0.0,1.0,0.0
173.0,11.0,0.0,1.0
173.5,0.0,4.0,0.0
174.0,11.0,0.0,1.0
174.5,11.0,2.0,1.0
175.0,0.0,1.0,0.0
175.5,11.0,0.0,1.0
176.0,10.0,2.0,1.0
176.5,11.0,2.0,1.0
177.0,10.0,2.0,1.0
177.5,11.0,2.0,1.0
178.0,2.0,4.0,0.0
178.5,11.0,2.0,1.0
179.0,10.0,2.0,1.0
179.5,11.0,2.0,1.0
180.0,11.0,2.0,1.0
180.5,0.0,1.0,0.0
181.0,11.0,0.0,1.0
181.5,0.0,4.0,0.0
182.0,11.0,0.0,1.0
182.5,11.0,2.0,1.0
183.0,0.0,1.0,0.0
183.5,11.0,0.0,1.0
184.0,1.0,1.0,0.94999999999999996
184.5,1.0,5.999999999999999,0.0
185.0,10.0,2.0,1.0
185.5,1.0,1.0,0.94999999999999996
186.0,2.0,4.0,0.0
186.5,1.0,5.999999999999999,0.0
187.0,10.0,2.0,1.0
187.5,1.0,1.0,0.94999999999999996
188.0,9.0,7.0,1.0
188.5,1.0,1.0,1.0
189.0,10.0,2.0,1.0
189.5,1.0,1.0,0.94999999999999996
190.0,9.0,7.0,1.0
190.5,10.0,2.0,1.0
191.0,11.0,2.0,1.0
191.5,10.0,2.0,1.0
192.0,10.0,2.0,1.0
192.5,11.0,2.0,1.0
193.0,10.0,2.0,1.0
193.5,11.0,2.0,1.0
194.0,2.0,4.0,0.0
194.5,11.0,2.0,1.0
195.0,10.0,2.0,1.0
195.5,11.0,2.0,1.0
196.0,11.0,2.0,1.0
196.5,0.0,1.0,0.0
197.0,11.0,0.0,1.0
